trade_id,pair,signal_bar_time,entry_time,exit_time,exit_reason,bars_held,final_r,spread_pips_used,spread_pips_exit,fold
1,EUR_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,2020-10-08 08:00:00,stoploss,2,-1.014228635,2.4,2.4,1
2,GBP_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,2020-10-09 12:00:00,stoploss,9,-1.01566406,4,4,1
3,AUD_JPY,2020-10-08 04:00:00,2020-10-08 08:00:00,2020-10-15 00:00:00,stoploss,29,-1.008334551,0.9,0.9,1
4,CAD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,2020-10-15 16:00:00,stoploss,32,-1.025987643,1.5,1.5,1
5,CAD_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,2020-10-15 12:00:00,stoploss,31,-1.015217315,1.2,1.2,1
6,GBP_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,2020-10-14 04:00:00,stoploss,23,-1.009714178,2,2,1
7,USD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,2020-10-09 08:00:00,stoploss,6,-1.012499731,0.9,0.9,1
8,AUD_CHF,2020-10-09 00:00:00,2020-10-09 04:00:00,2020-10-13 00:00:00,stoploss,12,-1.01820763,1.5,1.4,1
9,CHF_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,2020-10-13 16:00:00,stoploss,14,-1.021225271,2.2,2.2,1
10,EUR_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,2020-10-12 12:00:00,stoploss,7,-1.012878419,1.4,1.4,1
11,NZD_CAD,2020-10-09 12:00:00,2020-10-09 16:00:00,2020-10-20 08:00:00,stoploss,41,-1.027704903,2.3,2.6,1
12,GBP_CHF,2020-10-12 04:00:00,2020-10-12 08:00:00,2020-10-14 08:00:00,stoploss,13,-1.013102735,1.9,1.9,1
13,GBP_USD,2020-10-12 04:00:00,2020-10-12 08:00:00,2020-10-13 16:00:00,stoploss,9,-1.005492573,0.8,0.9,1
14,EUR_NZD,2020-10-12 08:00:00,2020-10-12 12:00:00,2020-10-13 16:00:00,stoploss,8,-1.020549982,3.8,3.8,1
15,GBP_NZD,2020-10-13 00:00:00,2020-10-13 04:00:00,2020-10-13 12:00:00,stoploss,3,-1.02013494,5.2,4.8,1
16,USD_CAD,2020-10-13 00:00:00,2020-10-13 04:00:00,2020-10-21 08:00:00,stoploss,38,-1.012977134,1.3,1.3,1
