pair,bar_time,swing_low_used,n_swing_lows,most_recent_sl_lag,ib_passed,break_passed,fired_signal
EUR_AUD,2020-10-08 00:00:00,1.63068,3,11,1,1,1
GBP_AUD,2020-10-08 00:00:00,1.78462,3,11,1,1,1
AUD_JPY,2020-10-08 04:00:00,74.928,2,7,1,1,1
CAD_CHF,2020-10-08 08:00:00,0.68797,5,7,1,1,1
CAD_JPY,2020-10-08 08:00:00,78.748,2,7,1,1,1
GBP_JPY,2020-10-08 08:00:00,135.044,2,8,1,1,1
USD_CHF,2020-10-08 08:00:00,0.91643,1,29,1,1,1
AUD_CHF,2020-10-09 00:00:00,0.65062,4,5,1,1,1
AUD_JPY,2020-10-09 08:00:00,74.928,3,7,1,1,0
CHF_JPY,2020-10-09 08:00:00,114.041,2,4,1,1,1
EUR_JPY,2020-10-09 08:00:00,123.019,3,4,1,1,1
NZD_CAD,2020-10-09 12:00:00,0.86808,1,8,1,1,1
EUR_AUD,2020-10-12 00:00:00,1.63068,3,14,1,1,0
GBP_CHF,2020-10-12 04:00:00,1.17694,4,4,1,1,1
GBP_USD,2020-10-12 04:00:00,1.28442,5,4,1,1,1
EUR_NZD,2020-10-12 08:00:00,1.7699,2,12,1,1,1
EUR_AUD,2020-10-13 00:00:00,1.6326,3,8,1,1,0
GBP_AUD,2020-10-13 00:00:00,1.79573,4,8,1,1,0
GBP_NZD,2020-10-13 00:00:00,1.94279,4,8,1,1,1
USD_CAD,2020-10-13 00:00:00,1.31098,2,7,1,1,1
USD_CHF,2020-10-13 08:00:00,0.90939,2,9,1,1,0
AUD_CHF,2020-10-14 00:00:00,0.65062,4,5,1,1,0
NZD_JPY,2020-10-14 00:00:00,69.405,3,5,1,1,1
NZD_USD,2020-10-14 00:00:00,0.65467,3,5,1,1,1
EUR_GBP,2020-10-14 04:00:00,0.90187,3,4,1,1,1
CAD_CHF,2020-10-14 08:00:00,0.69214,2,7,1,1,1
EUR_AUD,2020-10-15 00:00:00,1.6326,2,9,1,1,1
GBP_AUD,2020-10-15 00:00:00,1.79573,3,4,1,1,1
GBP_JPY,2020-10-15 00:00:00,135.66,4,4,1,1,1
USD_CAD,2020-10-15 00:00:00,1.30991,3,9,1,1,0
USD_CHF,2020-10-15 08:00:00,0.90867,4,4,1,1,1
CAD_CHF,2020-10-16 08:00:00,0.6894,4,4,1,1,0
GBP_CAD,2020-10-16 08:00:00,1.69049,3,12,1,1,1
GBP_CHF,2020-10-16 08:00:00,1.1768,3,4,1,1,1
GBP_NZD,2020-10-16 08:00:00,1.93434,3,12,1,1,1
EUR_JPY,2020-10-16 12:00:00,123.015,1,5,1,1,1
USD_JPY,2020-10-16 12:00:00,105.035,2,11,1,1,1
NZD_CHF,2020-10-16 16:00:00,0.60127,2,7,1,1,1
AUD_JPY,2020-10-19 00:00:00,74.252,2,8,1,1,1
AUD_USD,2020-10-19 00:00:00,0.7056,2,8,1,1,1
CAD_JPY,2020-10-19 00:00:00,79.443,3,8,1,1,1
GBP_CHF,2020-10-19 00:00:00,1.1768,2,8,1,1,0
GBP_JPY,2020-10-19 00:00:00,135.66,2,16,1,1,0
GBP_USD,2020-10-19 00:00:00,1.28625,2,16,1,1,1
NZD_CAD,2020-10-19 00:00:00,0.86981,2,9,1,1,1
EUR_JPY,2020-10-19 08:00:00,123.015,1,10,1,1,0
GBP_JPY,2020-10-19 08:00:00,135.337,3,5,1,1,0
GBP_NZD,2020-10-19 08:00:00,1.93434,3,5,1,1,0
NZD_CAD,2020-10-19 08:00:00,0.86981,2,11,1,1,0
NZD_JPY,2020-10-19 08:00:00,69.208,2,10,1,1,1
NZD_USD,2020-10-19 08:00:00,0.6576,3,6,1,1,1
AUD_USD,2020-10-19 12:00:00,0.7056,2,11,1,1,0
CAD_JPY,2020-10-19 16:00:00,79.443,3,12,1,1,0
GBP_AUD,2020-10-19 16:00:00,1.79642,2,7,1,1,0
EUR_CAD,2020-10-19 20:00:00,1.53889,2,20,1,1,1
CHF_JPY,2020-10-20 00:00:00,114.859,3,4,1,1,1
GBP_AUD,2020-10-20 00:00:00,1.79642,2,9,1,1,0
GBP_NZD,2020-10-20 00:00:00,1.93434,2,9,1,1,0
USD_JPY,2020-10-20 00:00:00,105.035,2,11,1,1,0
EUR_GBP,2020-10-20 04:00:00,0.90067,5,5,1,1,1
CHF_JPY,2020-10-20 08:00:00,114.859,3,6,1,1,0
EUR_JPY,2020-10-20 08:00:00,123.015,2,6,1,1,0
GBP_CAD,2020-10-20 08:00:00,1.69049,3,11,1,1,0
GBP_JPY,2020-10-20 08:00:00,135.337,2,11,1,1,1
NZD_JPY,2020-10-20 16:00:00,69.208,1,18,1,1,0
GBP_USD,2020-10-21 00:00:00,1.28562,2,15,1,1,0
EUR_USD,2020-10-21 04:00:00,1.16882,4,5,1,1,1
GBP_CAD,2020-10-21 08:00:00,1.69049,3,17,1,1,0
NZD_CHF,2020-10-21 12:00:00,0.5949,3,5,1,1,0
GBP_JPY,2020-10-21 16:00:00,135.337,2,10,1,1,0
GBP_AUD,2020-10-22 00:00:00,1.81314,2,7,1,1,1
CAD_CHF,2020-10-22 08:00:00,0.68792,2,11,1,1,1
EUR_GBP,2020-10-22 08:00:00,0.90157,4,11,1,1,0
NZD_USD,2020-10-22 08:00:00,0.65527,3,11,1,1,0
AUD_CHF,2020-10-22 16:00:00,0.63708,3,12,1,1,1
AUD_JPY,2020-10-22 16:00:00,74.2,3,7,1,1,1
NZD_USD,2020-10-22 16:00:00,0.65527,3,13,1,1,1
AUD_CAD,2020-10-23 00:00:00,0.92473,2,12,1,1,1
USD_CAD,2020-10-23 00:00:00,1.30807,2,10,1,1,1
USD_CHF,2020-10-23 00:00:00,0.90303,4,8,1,1,1
AUD_CAD,2020-10-23 08:00:00,0.92473,3,5,1,1,0
CHF_JPY,2020-10-23 08:00:00,114.859,2,24,1,1,1
EUR_CAD,2020-10-23 08:00:00,1.54256,1,24,1,1,1
EUR_GBP,2020-10-23 08:00:00,0.90108,4,9,1,1,0
EUR_JPY,2020-10-23 08:00:00,123.362,1,24,1,1,1
EUR_USD,2020-10-23 08:00:00,1.1703,2,18,1,1,0
GBP_USD,2020-10-23 08:00:00,1.28562,2,17,1,1,1
EUR_AUD,2020-10-23 16:00:00,1.64842,3,4,1,1,1
EUR_JPY,2020-10-23 20:00:00,123.362,2,5,1,1,0
CHF_JPY,2020-10-26 00:00:00,115.032,2,6,1,1,0
USD_CAD,2020-10-26 00:00:00,1.30807,3,8,1,1,0
USD_JPY,2020-10-26 00:00:00,104.34,2,14,1,1,1
AUD_JPY,2020-10-26 08:00:00,74.185,4,6,1,1,0
GBP_JPY,2020-10-26 08:00:00,136.309,1,26,1,1,1
NZD_CHF,2020-10-26 08:00:00,0.5949,2,4,1,1,1
NZD_USD,2020-10-26 08:00:00,0.65527,2,6,1,1,0
EUR_CAD,2020-10-26 16:00:00,1.54995,1,10,1,1,0
GBP_USD,2020-10-27 00:00:00,1.29105,3,4,1,1,0
AUD_USD,2020-10-27 04:00:00,0.70206,4,5,1,1,1
GBP_JPY,2020-10-27 04:00:00,136.294,1,5,1,1,0
AUD_CHF,2020-10-27 08:00:00,0.63708,3,6,1,1,0
AUD_USD,2020-10-27 16:00:00,0.70849,3,8,1,1,0
AUD_CHF,2020-10-28 00:00:00,0.64285,2,10,1,1,1
AUD_JPY,2020-10-28 04:00:00,74.185,3,17,1,1,1
EUR_GBP,2020-10-28 08:00:00,0.90108,2,11,1,1,1
GBP_CAD,2020-10-28 16:00:00,1.71105,2,8,1,1,1
AUD_CAD,2020-10-29 00:00:00,0.93276,3,7,1,1,1
GBP_CHF,2020-10-29 00:00:00,1.17611,1,16,1,1,1
GBP_CAD,2020-10-29 04:00:00,1.71105,3,5,1,1,0
GBP_NZD,2020-10-29 04:00:00,1.93944,3,5,1,1,1
GBP_USD,2020-10-29 04:00:00,1.2916,4,4,1,1,1
GBP_AUD,2020-10-29 08:00:00,1.82153,3,6,1,1,1
AUD_CHF,2020-10-30 00:00:00,0.64086,4,7,1,1,0
NZD_USD,2020-10-30 00:00:00,0.66283,3,8,1,1,1
EUR_CAD,2020-10-30 04:00:00,1.55218,1,11,1,1,1
EUR_NZD,2020-10-30 04:00:00,1.75219,3,11,1,1,1
EUR_JPY,2020-10-30 12:00:00,121.891,3,6,1,1,1
NZD_JPY,2020-10-30 12:00:00,68.967,3,6,1,1,1
USD_JPY,2020-10-30 12:00:00,104.023,3,6,1,1,1
USD_JPY,2020-11-02 00:00:00,104.023,3,5,1,1,0
AUD_CHF,2020-11-02 08:00:00,0.64012,5,6,1,1,1
AUD_JPY,2020-11-02 08:00:00,73.134,3,6,1,1,0
CAD_CHF,2020-11-02 08:00:00,0.68172,4,6,1,1,1
CAD_JPY,2020-11-02 08:00:00,77.913,3,6,1,1,1
CHF_JPY,2020-11-02 08:00:00,113.781,2,6,1,1,1
EUR_JPY,2020-11-02 08:00:00,121.616,4,7,1,1,0
NZD_JPY,2020-11-02 08:00:00,68.875,4,7,1,1,0
NZD_USD,2020-11-02 08:00:00,0.65966,3,10,1,1,0
USD_JPY,2020-11-02 08:00:00,104.023,3,7,1,1,0
EUR_JPY,2020-11-03 00:00:00,121.616,3,11,1,1,0
GBP_USD,2020-11-03 00:00:00,1.28535,5,4,1,1,0
AUD_CHF,2020-11-03 16:00:00,0.64012,5,8,1,1,0
NZD_JPY,2020-11-03 16:00:00,68.875,4,10,1,1,0
NZD_USD,2020-11-03 16:00:00,0.65889,3,8,1,1,0
AUD_NZD,2020-11-04 12:00:00,1.05898,4,8,1,1,1
AUD_USD,2020-11-04 12:00:00,0.69909,5,8,1,1,1
EUR_JPY,2020-11-04 16:00:00,121.616,3,12,1,1,0
NZD_JPY,2020-11-04 16:00:00,68.875,4,16,1,1,0
AUD_CAD,2020-11-05 08:00:00,0.92987,2,13,1,1,1
EUR_CAD,2020-11-05 08:00:00,1.53615,1,10,1,1,1
EUR_CHF,2020-11-05 08:00:00,1.06595,3,7,1,1,1
GBP_CHF,2020-11-05 08:00:00,1.17892,3,6,1,1,1
GBP_JPY,2020-11-05 08:00:00,134.4,3,18,1,1,1
GBP_USD,2020-11-05 08:00:00,1.28535,4,6,1,1,1
GBP_CHF,2020-11-05 16:00:00,1.17906,3,4,1,1,0
GBP_NZD,2020-11-05 20:00:00,1.93151,4,5,1,1,1
CHF_JPY,2020-11-06 08:00:00,113.781,6,10,1,1,1
EUR_CAD,2020-11-06 08:00:00,1.5354,3,4,1,1,0
EUR_GBP,2020-11-06 08:00:00,0.89442,3,14,1,1,1
EUR_USD,2020-11-06 08:00:00,1.16019,2,13,1,1,1
AUD_CHF,2020-11-09 00:00:00,0.64117,3,16,1,1,1
AUD_USD,2020-11-09 00:00:00,0.69909,3,17,1,1,0
CAD_JPY,2020-11-09 00:00:00,78.209,4,5,1,1,1
EUR_JPY,2020-11-09 00:00:00,121.727,3,5,1,1,1
EUR_USD,2020-11-09 00:00:00,1.16019,2,17,1,1,0
GBP_JPY,2020-11-09 00:00:00,134.871,2,10,1,1,0
GBP_USD,2020-11-09 00:00:00,1.28535,3,12,1,1,0
NZD_USD,2020-11-09 00:00:00,0.65889,2,17,1,1,1
EUR_GBP,2020-11-09 08:00:00,0.89442,3,8,1,1,0
AUD_JPY,2020-11-09 12:00:00,73.607,3,6,1,1,1
GBP_USD,2020-11-10 00:00:00,1.29137,3,8,1,1,0
EUR_CAD,2020-11-10 04:00:00,1.5354,3,15,1,1,0
EUR_USD,2020-11-10 04:00:00,1.16019,1,24,1,1,0
EUR_CHF,2020-11-10 08:00:00,1.06595,4,8,1,1,0
GBP_CHF,2020-11-10 08:00:00,1.17906,3,11,1,1,0
EUR_JPY,2020-11-10 16:00:00,121.957,2,15,1,1,0
EUR_USD,2020-11-11 00:00:00,1.16019,2,8,1,1,0
CAD_CHF,2020-11-11 08:00:00,0.68717,2,14,1,1,1
CAD_JPY,2020-11-11 08:00:00,78.873,3,7,1,1,0
EUR_CHF,2020-11-11 08:00:00,1.06657,4,4,1,1,1
GBP_CHF,2020-11-11 08:00:00,1.17906,3,17,1,1,1
GBP_JPY,2020-11-11 08:00:00,135.075,2,17,1,1,1
USD_CHF,2020-11-11 08:00:00,0.8975,1,14,1,1,1
USD_JPY,2020-11-11 08:00:00,103.175,2,17,1,1,1
NZD_USD,2020-11-11 20:00:00,0.67603,2,7,1,1,0
NZD_CHF,2020-11-12 00:00:00,0.60892,1,19,1,1,1
EUR_CAD,2020-11-12 04:00:00,1.53131,3,9,1,1,1
USD_CAD,2020-11-12 04:00:00,1.29281,3,9,1,1,1
CHF_JPY,2020-11-12 08:00:00,114.265,2,11,1,1,1
