trade_id,pair,signal_bar_time,entry_time,entry_price,sl_at_entry_price,exit_time,exit_price,exit_reason,final_r,bars_held,mfe_r,mae_r,spread_pips_used,spread_pips_exit,swing_low_used,n_swing_lows,most_recent_sl_lag,atr14_at_signal,time_to_peak_mfe,calendar_year
1,EUR_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,1.64979,1.641356303,2020-10-08 08:00:00,1.641236303,stoploss,-1.014228635,2,3.892717435,-4.455934243,2.4,2.4,1.63068,3,11,0.004216848583,0,2020
2,GBP_AUD,2020-10-08 00:00:00,2020-10-08 04:00:00,1.8119,1.799131918,2020-10-09 12:00:00,1.798931918,stoploss,-1.01566406,9,3.182937067,-1.426995899,4,4,1.78462,3,11,0.006384040769,0,2020
3,AUD_JPY,2020-10-08 04:00:00,2020-10-08 08:00:00,75.7125,75.17257889,2020-10-15 00:00:00,75.16807889,stoploss,-1.008334551,29,3.425500445,-4.775697701,0.9,0.9,74.928,2,7,0.2699605546,8,2020
4,CAD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0.693165,0.690279013,2020-10-15 16:00:00,0.690204013,stoploss,-1.025987643,32,4.093920017,-3.965714312,1.5,1.5,0.68797,5,7,0.001442993506,24,2020
5,CAD_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,80.056,79.66171232,2020-10-15 12:00:00,79.65571232,stoploss,-1.015217315,31,3.472084152,-5.435117851,1.2,1.2,78.748,2,7,0.1971438393,9,2020
6,GBP_JPY,2020-10-08 08:00:00,2020-10-08 12:00:00,137.281,136.2515768,2020-10-14 04:00:00,136.2415768,stoploss,-1.009714178,23,3.072594498,-2.798654678,2,2,135.044,2,8,0.5147115902,8,2020
7,USD_CHF,2020-10-08 08:00:00,2020-10-08 12:00:00,0.917695,0.9140949225,2020-10-09 08:00:00,0.9140499225,stoploss,-1.012499731,6,0.8458151152,-7.529004498,0.9,0.9,0.91643,1,29,0.00180003877,1,2020
8,AUD_CHF,2020-10-09 00:00:00,2020-10-09 04:00:00,0.657485,0.6536404579,2020-10-13 00:00:00,0.6535704579,stoploss,-1.01820763,12,3.635023275,-5.307524144,1.5,1.4,0.65062,4,5,0.001922271048,3,2020
9,CHF_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,115.985,115.4667499,2020-10-13 16:00:00,115.4557499,stoploss,-1.021225271,14,1.902556133,-4.39749029,2.2,2.2,114.041,2,4,0.2591250747,3,2020
10,EUR_JPY,2020-10-09 08:00:00,2020-10-09 12:00:00,124.941,124.397455,2020-10-12 12:00:00,124.390455,stoploss,-1.012878419,7,3.195687782,-6.117249208,1.4,1.4,123.019,3,4,0.271772482,1,2020
11,NZD_CAD,2020-10-09 12:00:00,2020-10-09 16:00:00,0.871815,0.8671226898,2020-10-20 08:00:00,0.8669926898,stoploss,-1.027704903,41,9.478273587,-1.987294012,2.3,2.6,0.86808,1,8,0.002346155109,18,2020
12,GBP_CHF,2020-10-12 04:00:00,2020-10-12 08:00:00,1.187325,1.180074605,2020-10-14 08:00:00,1.179979605,stoploss,-1.013102735,13,4.554924535,-2.094368783,1.9,1.9,1.17694,4,4,0.003625197272,7,2020
13,GBP_USD,2020-10-12 04:00:00,2020-10-12 08:00:00,1.304,1.295807118,2020-10-13 16:00:00,1.295762118,stoploss,-1.005492573,9,6.099196738,-2.276366203,0.8,0.9,1.28442,5,4,0.004096441068,2,2020
14,EUR_NZD,2020-10-12 08:00:00,2020-10-12 12:00:00,1.77536,1.76611425,2020-10-13 16:00:00,1.76592425,stoploss,-1.020549982,8,2.883487015,-8.724008351,3.8,3.8,1.7699,2,12,0.004622874988,3,2020
15,GBP_NZD,2020-10-13 00:00:00,2020-10-13 04:00:00,1.96651,1.954590421,2020-10-13 12:00:00,1.954350421,stoploss,-1.02013494,3,1.109099599,-6.879437757,5.2,4.8,1.94279,4,8,0.005959789368,0,2020
16,USD_CAD,2020-10-13 00:00:00,2020-10-13 04:00:00,1.313195,1.30818619,2020-10-21 08:00:00,1.30812119,stoploss,-1.012977134,38,5.143936465,-7.180348339,1.3,1.3,1.31098,2,7,0.002504404961,15,2020
17,NZD_JPY,2020-10-14 00:00:00,2020-10-14 04:00:00,70.222,69.81440483,2020-10-15 08:00:00,69.80940483,stoploss,-1.012267074,8,9.359777182,-3.304749637,1,1,69.405,3,5,0.2037975865,2,2020
18,NZD_USD,2020-10-14 00:00:00,2020-10-14 04:00:00,0.666035,0.6621569338,2020-10-15 08:00:00,0.6621019338,stoploss,-1.014182326,8,11.44255877,-2.775868059,1.1,1.1,0.65467,3,5,0.001939033083,3,2020
19,EUR_GBP,2020-10-14 04:00:00,2020-10-14 08:00:00,0.9087,0.9040585354,2020-10-14 12:00:00,0.9040185354,stoploss,-1.008617969,2,1.316394831,-4.869152731,0.8,0.8,0.90187,3,4,0.002320732296,0,2020
20,EUR_AUD,2020-10-15 00:00:00,2020-10-15 04:00:00,1.64577,1.637322504,2020-11-03 16:00:00,1.637202504,stoploss,-1.014205394,82,4.362239646,-3.972775102,2.4,2.4,1.6326,2,9,0.004223747775,21,2020
21,GBP_AUD,2020-10-15 00:00:00,2020-10-15 04:00:00,1.82443,1.811797664,2020-11-04 16:00:00,1.811597664,stoploss,-1.015832384,88,2.225241616,-3.017652451,4,4,1.79573,3,4,0.006316168051,30,2020
22,GBP_JPY,2020-10-15 00:00:00,2020-10-15 04:00:00,137.043,136.1522344,2020-10-15 12:00:00,136.1402344,stoploss,-1.013471558,3,4.113315753,-2.967110681,2,2.4,135.66,4,4,0.4453827788,0,2020
23,USD_CHF,2020-10-15 08:00:00,2020-10-15 12:00:00,0.915395,0.9115284338,2020-10-19 12:00:00,0.9114834338,stoploss,-1.011638234,13,1.382363518,-7.519592008,0.9,0.9,0.90867,4,4,0.00193328308,11,2020
24,GBP_CAD,2020-10-16 08:00:00,2020-10-16 12:00:00,1.70893,1.698543258,2020-10-16 12:00:00,1.698283258,stoploss,-1.025031912,1,3.925196307,-3.084701733,5.2,5.2,1.69049,3,12,0.00519337083,0,2020
25,GBP_CHF,2020-10-16 08:00:00,2020-10-16 12:00:00,1.184015,1.176420228,2020-10-16 12:00:00,1.176325228,stoploss,-1.012508605,1,4.784212296,-2.069186631,1.9,1.9,1.1768,3,4,0.003797385834,0,2020
