trade_id,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative,bars_held,final_r,mfe_r,mae_r,exit_reason
1,0,0,0,0,1,-1.014228635,3.892717435,-4.455934243,stoploss
2,0,0,0,0,8,-1.01566406,3.182937067,-1.426995899,stoploss
3,0.5,5,0.1639128355,0.2857142857,28,-1.008334551,3.425500445,-4.775697701,stoploss
4,0.4782608696,7,0.5751931638,0.7741935484,31,-1.025987643,4.093920017,-3.965714312,stoploss
5,0.44,7,0.2130424171,0.3,30,-1.015217315,3.472084152,-5.435117851,stoploss
6,0.4545454545,3,0.2001120666,0.3636363636,22,-1.009714178,3.072594498,-2.798654678,stoploss
7,0,1,0,0.2,5,-1.012499731,0.8458151152,-7.529004498,stoploss
8,0.6666666667,2,0.1820763,0.2727272727,11,-1.01820763,3.635023275,-5.307524144,stoploss
9,0.5,3,0,0.2307692308,13,-1.021225271,1.902556133,-4.39749029,stoploss
10,0,1,0,0.1666666667,6,-1.012878419,3.195687782,-6.117249208,stoploss
11,0.4137931034,4,0.6137701614,0.45,40,-1.027704903,9.478273587,-1.987294012,stoploss
12,1,2,0.355842704,0.5833333333,12,-1.013102735,4.554924535,-2.094368783,stoploss
13,0.6,1,0.2136000459,0.25,8,-1.005492573,6.099196738,-2.276366203,stoploss
14,1,2,0.1200551608,0.4285714286,7,-1.020549982,2.883487015,-8.724008351,stoploss
15,0,0,0,0,2,-1.02013494,1.109099599,-6.879437757,stoploss
16,0.4615384615,7,0.5739886411,0.4054054054,37,-1.012977134,5.143936465,-7.180348339,stoploss
17,0,1,0.1275775658,0.2857142857,7,-1.012267074,9.359777182,-3.304749637,stoploss
18,1,3,0,0.4285714286,7,-1.014182326,11.44255877,-2.775868059,stoploss
19,0,0,0,0,1,-1.008617969,1.316394831,-4.869152731,stoploss
20,0.5256410256,12,0.8712641463,0.2592592593,81,-1.014205394,4.362239646,-3.972775102,stoploss
21,0.4861111111,11,0.6360660402,0.3448275862,87,-1.015832384,2.225241616,-3.017652451,stoploss
22,0,0,0,0,2,-1.013471558,4.113315753,-2.967110681,stoploss
23,1,3,0.3413881841,0.9166666667,12,-1.011638234,1.382363518,-7.519592008,stoploss
24,0,0,0,0,0,-1.025031912,3.925196307,-3.084701733,stoploss
25,0,0,0,0,0,-1.012508605,4.784212296,-2.069186631,stoploss
26,0.4761904762,7,0.7099429562,0.6,35,-1.018765012,1.66539482,-8.315245968,stoploss
27,0.4705882353,8,0.3177473935,0.2790697674,43,-1.008801867,5.483563051,-3.533069356,stoploss
28,0.4166666667,3,0.2821342303,0.6875,16,-1.009200029,1.174537067,-6.709887999,stoploss
29,0.5,2,0.2140583365,0.5,6,-1.021921637,8.689994757,-2.652518061,stoploss
30,0,1,0.2331876727,0.3333333333,6,-1.007120234,6.976939567,-3.069711005,stoploss
31,0,1,0.1617806415,0.4,5,-1.010239281,9.583967114,-2.312029673,stoploss
32,0.375,3,0.4529282773,0.6,15,-1.0147694,5.193905788,-5.159443854,stoploss
33,0.5291479821,24,0.500336806,0.8625,240,3.723793834,5.921808101,-0.8768278684,time_exit
34,0,1,0,0.25,4,-1.010843203,9.04106277,-2.153460142,stoploss
35,0,1,0,0.3333333333,3,-1.013618683,12.05005802,-1.992041853,stoploss
36,0.5,10,1.175975599,0.7894736842,57,-1.013780964,2.858784431,-3.235464114,stoploss
37,0.1666666667,3,0,0.3333333333,9,-1.021515215,3.415051344,-4.512327291,stoploss
38,0.5,2,0.1469117228,0.375,8,-1.007345586,2.42220703,-4.348586995,stoploss
39,0.4615384615,3,0.3609700615,0.2,35,-1.012133447,3.92719249,-2.449945264,stoploss
40,0.6666666667,1,0.1646206792,0.2,10,-1.007386825,7.696016751,-5.188717176,stoploss
41,0.3333333333,2,0.2097273247,0.2307692308,13,-1.022470785,4.486666696,-2.482272693,stoploss
