trade_id,X,truncated_at_bar,sl_triggered,peak_mfe_bar_X,peak_mfe_X,peak_mfe_atr,final_r_X,reached_1R_X,wrong_way_pre_peak_X,mono_pre_peak_X,cluster_id
1,0.5,0,True,0,-1.247377015,-0.6236885076,-1,False,True,0,1
1,1,1,True,0,-0.6236885076,-0.6236885076,-1,False,False,0,1
1,1.5,1,True,0,-0.4157923384,-0.6236885076,-1,False,False,0,1
1,2,1,True,0,-0.3118442538,-0.6236885076,-1,False,False,0,1
1,3,8,True,0,-0.2078961692,-0.6236885076,-1,False,False,0,1
1,4,9,True,0,-0.1559221269,-0.6236885076,-1,False,False,0,1
2,0.5,1,True,0,-0.598367106,-0.299183553,-1,False,False,0,1
2,1,1,True,0,-0.299183553,-0.299183553,-1,False,False,0,1
2,1.5,2,True,0,-0.199455702,-0.299183553,-1,False,False,0,1
2,2,8,True,0,-0.1495917765,-0.299183553,-1,False,False,0,1
2,3,240,False,60,2.051991908,6.155975724,-0.2824752219,True,False,0.5789473684,1
2,4,240,False,60,1.538993931,6.155975724,-0.2118564165,True,False,0.5789473684,1
3,0.5,16,True,9,5.65638192,2.82819096,-1,True,False,0.8888888889,2
3,1,21,True,9,2.82819096,2.82819096,-1,True,False,0.8888888889,2
3,1.5,26,True,9,1.88546064,2.82819096,-1,True,False,0.8888888889,2
3,2,28,True,9,1.41409548,2.82819096,-1,True,False,0.8888888889,2
3,3,30,True,9,0.94273032,2.82819096,-1,False,False,0.8888888889,2
3,4,30,True,9,0.70704774,2.82819096,-1,False,False,0.8888888889,2
4,0.5,6,True,3,2.39086315,1.195431575,-1,True,False,0.6666666667,2
4,1,30,True,19,2.477488626,2.477488626,-1,True,False,0.5384615385,2
4,1.5,30,True,19,1.651659084,2.477488626,-1,True,False,0.5384615385,2
4,2,31,True,19,1.238744313,2.477488626,-1,True,False,0.5384615385,2
4,3,48,True,19,0.825829542,2.477488626,-1,False,False,0.5384615385,2
4,4,57,True,19,0.6193721565,2.477488626,-1,False,False,0.5384615385,2
5,0.5,25,True,6,5.346350176,2.673175088,-1,True,False,0.6666666667,2
5,1,25,True,6,2.673175088,2.673175088,-1,True,False,0.6666666667,2
5,1.5,30,True,6,1.782116725,2.673175088,-1,True,False,0.6666666667,2
5,2,30,True,6,1.336587544,2.673175088,-1,True,False,0.6666666667,2
5,3,31,True,6,0.8910583627,2.673175088,-1,False,False,0.6666666667,2
5,4,77,True,6,0.668293772,2.673175088,-1,False,False,0.6666666667,2
6,0.5,0,True,0,-1.806837106,-0.9034185528,-1,False,True,0,2
6,1,0,True,0,-0.9034185528,-0.9034185528,-1,False,True,0,2
6,1.5,20,True,8,0.7097826051,1.064673908,-1,False,False,1,2
6,2,22,True,8,0.5323369538,1.064673908,-1,False,False,1,2
