feature,importance
d1_ema_50_slope_at_entry,0.18378534058614593
atr_200,0.16727951580876652
atr_50,0.1283585168452929
atr_14,0.09406964622935642
ema_200_slope,0.0936748058139634
h4_ema_50_slope_at_entry,0.08941480377740138
atr_ratio_14_200,0.050680785460262376
realised_vol_20,0.04567994470212591
hour_of_week,0.037788495724836016
atr_ratio_14_50,0.0324643670591569
atr_percentile_200,0.02805184707269721
d1_close_above_ema_50,0.01924502894513445
day_of_week,0.014918181127256111
ema_50_above_200,0.011012999252846864
session_marker,0.003575721594757741
