pair,sum,count,fold_id
AUD_CAD,71,188,1
AUD_CHF,66,188,1
AUD_JPY,79,188,1
AUD_NZD,50,188,1
AUD_USD,69,188,1
CAD_CHF,65,188,1
CAD_JPY,72,188,1
CHF_JPY,68,188,1
EUR_AUD,54,188,1
EUR_CAD,48,188,1
EUR_CHF,50,187,1
EUR_GBP,32,187,1
EUR_JPY,98,187,1
EUR_NZD,8,187,1
EUR_USD,72,187,1
GBP_AUD,63,187,1
GBP_CAD,46,187,1
GBP_CHF,80,187,1
GBP_JPY,111,187,1
GBP_NZD,76,187,1
GBP_USD,96,187,1
NZD_CAD,73,187,1
NZD_CHF,88,188,1
NZD_JPY,126,188,1
NZD_USD,111,188,1
USD_CAD,33,188,1
USD_CHF,78,188,1
USD_JPY,67,188,1
AUD_CAD,48,187,2
AUD_CHF,55,187,2
AUD_JPY,65,187,2
AUD_NZD,74,187,2
AUD_USD,53,187,2
CAD_CHF,41,187,2
CAD_JPY,48,187,2
CHF_JPY,79,187,2
EUR_AUD,82,187,2
EUR_CAD,48,187,2
EUR_CHF,28,188,2
EUR_GBP,17,188,2
EUR_JPY,26,188,2
EUR_NZD,79,188,2
EUR_USD,16,188,2
GBP_AUD,85,188,2
GBP_CAD,24,188,2
GBP_CHF,44,188,2
GBP_JPY,31,188,2
GBP_NZD,54,188,2
GBP_USD,36,188,2
NZD_CAD,80,188,2
NZD_CHF,52,188,2
NZD_JPY,62,188,2
NZD_USD,43,188,2
USD_CAD,94,188,2
USD_CHF,83,187,2
USD_JPY,109,187,2
AUD_CAD,49,188,3
AUD_CHF,10,188,3
AUD_JPY,63,188,3
AUD_NZD,81,188,3
AUD_USD,37,188,3
CAD_CHF,49,188,3
CAD_JPY,93,188,3
CHF_JPY,72,188,3
EUR_AUD,29,188,3
EUR_CAD,64,188,3
EUR_CHF,44,188,3
EUR_GBP,95,188,3
EUR_JPY,80,188,3
EUR_NZD,70,188,3
EUR_USD,43,187,3
GBP_AUD,14,187,3
GBP_CAD,28,187,3
GBP_CHF,21,187,3
GBP_JPY,28,187,3
GBP_NZD,4,187,3
GBP_USD,36,187,3
NZD_CAD,59,187,3
NZD_CHF,34,187,3
NZD_JPY,67,187,3
NZD_USD,41,187,3
USD_CAD,70,187,3
USD_CHF,79,188,3
USD_JPY,103,188,3
AUD_CAD,54,188,4
AUD_CHF,25,188,4
AUD_JPY,61,187,4
AUD_NZD,36,187,4
AUD_USD,45,187,4
CAD_CHF,41,187,4
CAD_JPY,77,187,4
CHF_JPY,104,187,4
EUR_AUD,89,187,4
EUR_CAD,61,187,4
EUR_CHF,39,187,4
EUR_GBP,44,187,4
EUR_JPY,65,187,4
EUR_NZD,75,187,4
EUR_USD,89,188,4
GBP_AUD,87,188,4
GBP_CAD,69,188,4
GBP_CHF,28,188,4
GBP_JPY,82,188,4
GBP_NZD,76,188,4
GBP_USD,95,188,4
NZD_CAD,33,188,4
NZD_CHF,15,188,4
NZD_JPY,55,188,4
NZD_USD,19,188,4
USD_CAD,48,188,4
USD_CHF,36,188,4
USD_JPY,95,188,4
AUD_CAD,35,186,5
AUD_CHF,80,187,5
AUD_JPY,107,188,5
AUD_NZD,50,188,5
AUD_USD,39,188,5
CAD_CHF,78,188,5
CAD_JPY,81,188,5
CHF_JPY,29,187,5
EUR_AUD,21,188,5
EUR_CAD,56,188,5
EUR_CHF,51,188,5
EUR_GBP,42,188,5
EUR_JPY,73,188,5
EUR_NZD,28,188,5
EUR_USD,60,188,5
GBP_AUD,19,187,5
GBP_CAD,78,187,5
GBP_CHF,65,188,5
GBP_JPY,80,188,5
GBP_NZD,21,187,5
GBP_USD,71,188,5
NZD_CAD,61,188,5
NZD_CHF,79,188,5
NZD_JPY,88,187,5
NZD_USD,54,187,5
USD_CAD,32,187,5
USD_CHF,47,187,5
USD_JPY,99,187,5
AUD_CAD,53,188,6
AUD_CHF,30,188,6
AUD_JPY,54,188,6
AUD_NZD,65,188,6
AUD_USD,28,188,6
CAD_CHF,40,188,6
CAD_JPY,56,188,6
CHF_JPY,57,188,6
EUR_AUD,62,188,6
EUR_CAD,60,188,6
EUR_CHF,27,188,6
EUR_GBP,39,188,6
EUR_JPY,61,187,6
EUR_NZD,83,186,6
EUR_USD,16,187,6
GBP_AUD,67,187,6
GBP_CAD,78,187,6
GBP_CHF,28,187,6
GBP_JPY,74,187,6
GBP_NZD,107,187,6
GBP_USD,68,187,6
NZD_CAD,73,187,6
NZD_CHF,20,187,6
NZD_JPY,41,188,6
NZD_USD,40,188,6
USD_CAD,108,188,6
USD_CHF,83,188,6
USD_JPY,77,188,6
AUD_CAD,64,187,7
AUD_CHF,3,187,7
AUD_JPY,60,187,7
AUD_NZD,102,187,7
AUD_USD,34,187,7
CAD_CHF,0,187,7
CAD_JPY,48,187,7
CHF_JPY,138,187,7
EUR_AUD,50,187,7
EUR_CAD,108,187,7
EUR_CHF,18,187,7
EUR_GBP,77,187,7
EUR_JPY,110,188,7
EUR_NZD,118,188,7
EUR_USD,49,188,7
GBP_AUD,73,188,7
GBP_CAD,58,188,7
GBP_CHF,8,188,7
GBP_JPY,46,188,7
GBP_NZD,84,188,7
GBP_USD,83,188,7
NZD_CAD,32,188,7
NZD_CHF,2,188,7
NZD_JPY,33,188,7
NZD_USD,14,188,7
USD_CAD,89,188,7
USD_CHF,2,188,7
USD_JPY,70,188,7
