feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7
atr_14,0.06873689958279239,0.06700181106726463,0.06981602038354486,0.08365349957897131,0.07970589213306627,0.08548450203656227,0.07514885347303883
atr_50,0.09746461274157406,0.0905066096258633,0.10391821469643982,0.1109842950537339,0.10730726525004414,0.10513353202912523,0.10750668332091123
atr_200,0.132259399670515,0.10277747894475937,0.11670444927289775,0.1252072493533023,0.11958805866306202,0.12843689673431508,0.1285991027563821
ema_200_slope,0.15572819303835925,0.15725728721959875,0.15147163098268632,0.15143686730597514,0.14854478591198877,0.14804507514559295,0.15735427229277793
atr_ratio_14_200,0.06738234628750543,0.07492472589344144,0.06843813870478264,0.061786779757785674,0.06928280429523834,0.06818617006880237,0.06500209918214549
atr_percentile_200,0.0310488249053528,0.027945714350083358,0.03182938434133299,0.029395907828310332,0.029654764980239195,0.029435929363965267,0.0330233211592338
d1_close_above_ema_50,0.009826369965766186,0.013542099098201948,0.01237755654087045,0.01932879877433455,0.021769916830581746,0.02017631089666512,0.01603059872769103
d1_ema_50_slope_at_entry,0.13405272547207386,0.14899917055836429,0.15355432390943116,0.14136787531502756,0.1388892317176543,0.13892672509094284,0.13713005347317456
ema_50_above_200,0.010550396677804464,0.03365756342125733,0.02138056465419253,0.024941464637911807,0.02338994439231158,0.01939028284389452,0.013980816851310522
ema_spread_20_50_atr,0.050703729280452796,0.04740181508371625,0.047346967011315556,0.04516376502225876,0.050045730436540425,0.04700177864240706,0.04602039457371079
ema_50_slope,0.08898540998856122,0.08364661253154947,0.079487331621006,0.0723991864252867,0.08051987828667756,0.07698897973524071,0.07708143750686319
atr_ratio_14_50,0.06208800725102778,0.05995476826704001,0.06320964132918573,0.0507097946476687,0.05088364020801874,0.05371497246656651,0.05080759322814729
ema_20_slope,0.039041176047634796,0.03841892043028633,0.03616344127138673,0.03290676313255835,0.03231527614439011,0.030280026551701603,0.04034461882646093
position_in_range_60,0.03457092472624546,0.03296371450278248,0.027781236623507913,0.028962916215273977,0.02758270967951209,0.02770886523438595,0.028598583249430404
atr_percentile_60,0.017560984364334634,0.02100170900579103,0.01652109865741963,0.021754836951601127,0.020520101070674687,0.0210899531598325,0.023371571378721975
