quarter,mean_atr_14,mean_atr_percentile_60,clean_move_rate,n_rows,mean_fold_auc_overlap
2020Q1,0.2514003509534902,0.6547805059523809,0.25279017857142855,1792,
2020Q2,0.2971396464143003,0.3690842490842491,0.47637362637362635,1820,
2020Q3,0.2076400940878471,0.2918290043290043,0.3116883116883117,1848,0.4523662426812033
2020Q4,0.19312278881571984,0.4217032967032967,0.4076923076923077,1820,0.4523662426812033
2021Q1,0.17974479141886712,0.4821995464852607,0.43820861678004536,1764,0.4523662426812033
2021Q2,0.18216267789188995,0.3584157509157509,0.23901098901098902,1820,0.4510026997912855
2021Q3,0.18838009558870017,0.48226010101010097,0.2602813852813853,1848,0.4496391569013677
2021Q4,0.21787856821939744,0.6414502164502164,0.288961038961039,1848,0.4496391569013677
2022Q1,0.2342722215515253,0.5972005208333334,0.38783482142857145,1792,0.4675258727259243
2022Q2,0.3551807532559667,0.739065934065934,0.22472527472527473,1820,0.4854125885504808
2022Q3,0.3554307278088685,0.35714285714285715,0.2905844155844156,1848,0.4854125885504808
2022Q4,0.40333723736117927,0.5604578754578754,0.26483516483516484,1820,0.503590315371482
2023Q1,0.37111146975178644,0.31097069597069593,0.2703296703296703,1820,0.5217680421924832
2023Q2,0.3133490940694681,0.2932692307692308,0.4098901098901099,1820,0.5217680421924832
2023Q3,0.2948919143178465,0.41326007326007325,0.2813186813186813,1820,0.5104713339231326
2023Q4,0.2831713621404557,0.4987144168962351,0.26831955922865014,1815,0.499174625653782
2024Q1,0.26045922096781937,0.2263392857142857,0.3560267857142857,1792,0.499174625653782
2024Q2,0.27743743433107493,0.48065934065934063,0.4208791208791209,1820,0.508237661751914
2024Q3,0.3862194371978479,0.6291486291486292,0.29545454545454547,1848,0.5173006978500458
2024Q4,0.36518110985826635,0.48348665223665227,0.22564935064935066,1848,0.5173006978500458
2025Q1,0.3533172252531503,0.537716359575656,0.2384142936906756,1791,0.5452473418404324
2025Q2,0.36907222477550633,0.48340659340659337,0.3148351648351648,1820,0.5731939858308189
2025Q3,0.26318474282821297,0.15111832611832607,0.33170995670995673,1848,0.5731939858308189
2025Q4,0.23812961399015978,0.23547619047619045,0.3,140,0.5731939858308189
