bin,n_bin_rows,fold,train_start,train_end,val_start,val_end,train_n,val_n,base_rate_val,val_auc,status
vol_q1,47134,1,2020-01-02 04:00:00,2020-07-21 04:00:00,2020-07-21 04:00:00,2021-04-27 20:00:00,5897,5891,0.1931760312340859,0.4774123788989804,trained
vol_q1,47134,2,2020-01-02 04:00:00,2021-04-27 20:00:00,2021-04-27 20:00:00,2022-02-07 20:00:00,11788,5891,0.15430317433372942,0.500953818786134,trained
vol_q1,47134,3,2020-01-02 04:00:00,2022-02-07 20:00:00,2022-02-07 20:00:00,2022-11-07 08:00:00,17679,5891,0.24240366661008317,0.5352401883899426,trained
vol_q1,47134,4,2020-01-02 04:00:00,2022-11-07 08:00:00,2022-11-07 12:00:00,2023-08-10 20:00:00,23570,5891,0.19979629943982347,0.5721221589444698,trained
vol_q1,47134,5,2020-01-02 04:00:00,2023-08-10 20:00:00,2023-08-10 20:00:00,2024-05-22 20:00:00,29461,5891,0.21456459005262266,0.5454127944672574,trained
vol_q1,47134,6,2020-01-02 04:00:00,2024-05-22 20:00:00,2024-05-23 00:00:00,2025-03-24 08:00:00,35352,5891,0.15854693600407402,0.4785673926387921,trained
vol_q1,47134,7,2020-01-02 04:00:00,2025-03-24 08:00:00,2025-03-24 08:00:00,2025-11-04 20:00:00,41243,5891,0.1086402987608216,0.520538052275757,trained
vol_q2,52400,1,2020-01-02 04:00:00,2020-10-23 00:00:00,2020-10-23 00:00:00,2021-07-26 16:00:00,6550,6550,0.18442748091603053,0.4649028007467997,trained
vol_q2,52400,2,2020-01-02 04:00:00,2021-07-26 16:00:00,2021-07-26 16:00:00,2022-05-16 08:00:00,13100,6550,0.21450381679389313,0.46680486531165594,trained
vol_q2,52400,3,2020-01-02 04:00:00,2022-05-16 08:00:00,2022-05-16 08:00:00,2023-01-25 20:00:00,19650,6550,0.2083969465648855,0.5613144425487724,trained
vol_q2,52400,4,2020-01-02 04:00:00,2023-01-25 20:00:00,2023-01-25 20:00:00,2023-10-03 12:00:00,26200,6550,0.19572519083969467,0.5112697332494666,trained
vol_q2,52400,5,2020-01-02 04:00:00,2023-10-03 12:00:00,2023-10-03 12:00:00,2024-06-17 00:00:00,32750,6550,0.21541984732824426,0.5219446516535563,trained
vol_q2,52400,6,2020-01-02 04:00:00,2024-06-17 00:00:00,2024-06-17 04:00:00,2025-03-20 08:00:00,39300,6550,0.19541984732824427,0.44636829933586336,trained
vol_q2,52400,7,2020-01-02 04:00:00,2025-03-20 08:00:00,2025-03-20 08:00:00,2025-11-04 20:00:00,45850,6550,0.12061068702290076,0.524892097398031,trained
vol_q3,51576,1,2020-01-02 04:00:00,2020-10-28 04:00:00,2020-10-28 08:00:00,2021-07-27 16:00:00,6447,6447,0.18116953621839615,0.5154912395197306,trained
vol_q3,51576,2,2020-01-02 04:00:00,2021-07-27 16:00:00,2021-07-27 16:00:00,2022-04-15 04:00:00,12894,6447,0.2290988056460369,0.4588890145204334,trained
vol_q3,51576,3,2020-01-02 04:00:00,2022-04-15 04:00:00,2022-04-15 08:00:00,2023-01-11 12:00:00,19341,6447,0.1920272995191562,0.5264550822470491,trained
vol_q3,51576,4,2020-01-02 04:00:00,2023-01-11 12:00:00,2023-01-11 16:00:00,2023-09-13 12:00:00,25788,6447,0.18458197611292074,0.531781314389937,trained
vol_q3,51576,5,2020-01-02 04:00:00,2023-09-13 12:00:00,2023-09-13 12:00:00,2024-05-17 16:00:00,32235,6447,0.23344191096634093,0.5635524912910022,trained
