pair,sum,count,fold_id
AUD_CAD,888,4612,1
AUD_CHF,909,4611,1
AUD_JPY,813,4611,1
AUD_NZD,968,4611,1
AUD_USD,963,4611,1
CAD_CHF,601,4610,1
CAD_JPY,959,4611,1
CHF_JPY,622,4608,1
EUR_AUD,706,4611,1
EUR_CAD,537,4611,1
EUR_CHF,938,4607,1
EUR_GBP,1011,4608,1
EUR_JPY,717,4609,1
EUR_NZD,692,4612,1
EUR_USD,1089,4612,1
GBP_AUD,451,4612,1
GBP_CAD,516,4612,1
GBP_CHF,628,4608,1
GBP_JPY,668,4612,1
GBP_NZD,341,4612,1
GBP_USD,494,4608,1
NZD_CAD,583,4608,1
NZD_CHF,837,4608,1
NZD_JPY,585,4608,1
NZD_USD,793,4608,1
USD_CAD,722,4608,1
USD_CHF,656,4608,1
USD_JPY,1106,4608,1
AUD_CAD,635,4607,2
AUD_CHF,536,4612,2
AUD_JPY,1495,4612,2
AUD_NZD,468,4612,2
AUD_USD,757,4611,2
CAD_CHF,755,4611,2
CAD_JPY,1053,4611,2
CHF_JPY,798,4607,2
EUR_AUD,757,4611,2
EUR_CAD,807,4611,2
EUR_CHF,1122,4607,2
EUR_GBP,413,4611,2
EUR_JPY,1231,4607,2
EUR_NZD,814,4611,2
EUR_USD,581,4607,2
GBP_AUD,708,4607,2
GBP_CAD,525,4607,2
GBP_CHF,912,4611,2
GBP_JPY,1388,4611,2
GBP_NZD,553,4611,2
GBP_USD,766,4611,2
NZD_CAD,901,4611,2
NZD_CHF,601,4611,2
NZD_JPY,956,4611,2
NZD_USD,894,4611,2
USD_CAD,786,4607,2
USD_CHF,656,4607,2
USD_JPY,1034,4611,2
AUD_CAD,579,4624,3
AUD_CHF,672,4613,3
AUD_JPY,1291,4625,3
AUD_NZD,760,4608,3
AUD_USD,884,4625,3
CAD_CHF,1061,4620,3
CAD_JPY,1085,4620,3
CHF_JPY,700,4580,3
EUR_AUD,407,4620,3
EUR_CAD,463,4616,3
EUR_CHF,928,4623,3
EUR_GBP,663,4620,3
EUR_JPY,1000,4625,3
EUR_NZD,565,4576,3
EUR_USD,499,4625,3
GBP_AUD,509,4571,3
GBP_CAD,567,4597,3
GBP_CHF,637,4594,3
GBP_JPY,1067,4605,3
GBP_NZD,560,4542,3
GBP_USD,719,4625,3
NZD_CAD,898,4602,3
NZD_CHF,673,4595,3
NZD_JPY,1048,4624,3
NZD_USD,780,4625,3
USD_CAD,326,4625,3
USD_CHF,1064,4625,3
USD_JPY,1086,4625,3
AUD_CAD,888,4613,4
AUD_CHF,787,4613,4
AUD_JPY,622,4612,4
AUD_NZD,496,4609,4
AUD_USD,598,4613,4
CAD_CHF,567,4613,4
CAD_JPY,596,4613,4
CHF_JPY,481,4604,4
EUR_AUD,532,4613,4
EUR_CAD,824,4613,4
EUR_CHF,1217,4613,4
EUR_GBP,839,4613,4
EUR_JPY,852,4613,4
EUR_NZD,414,4601,4
EUR_USD,696,4613,4
GBP_AUD,549,4611,4
GBP_CAD,879,4607,4
GBP_CHF,677,4609,4
GBP_JPY,527,4609,4
GBP_NZD,505,4602,4
GBP_USD,754,4613,4
NZD_CAD,980,4599,4
NZD_CHF,863,4598,4
NZD_JPY,1023,4606,4
NZD_USD,770,4613,4
USD_CAD,735,4613,4
USD_CHF,828,4613,4
USD_JPY,587,4613,4
AUD_CAD,522,4607,5
AUD_CHF,678,4608,5
AUD_JPY,655,4610,5
AUD_NZD,373,4617,5
AUD_USD,664,4611,5
CAD_CHF,938,4611,5
CAD_JPY,812,4607,5
CHF_JPY,828,4608,5
EUR_AUD,824,4611,5
EUR_CAD,418,4611,5
EUR_CHF,685,4611,5
EUR_GBP,570,4618,5
EUR_JPY,880,4607,5
EUR_NZD,638,4608,5
EUR_USD,616,4609,5
GBP_AUD,550,4607,5
GBP_CAD,390,4607,5
GBP_CHF,438,4604,5
GBP_JPY,753,4604,5
GBP_NZD,676,4607,5
GBP_USD,384,4610,5
NZD_CAD,565,4611,5
NZD_CHF,816,4610,5
NZD_JPY,832,4614,5
NZD_USD,499,4617,5
USD_CAD,717,4610,5
USD_CHF,774,4610,5
USD_JPY,631,4610,5
AUD_CAD,499,4614,6
AUD_CHF,651,4609,6
AUD_JPY,895,4613,6
AUD_NZD,310,4603,6
AUD_USD,547,4613,6
CAD_CHF,684,4611,6
CAD_JPY,673,4613,6
CHF_JPY,808,4609,6
EUR_AUD,1091,4612,6
EUR_CAD,743,4609,6
EUR_CHF,718,4613,6
EUR_GBP,735,4613,6
EUR_JPY,642,4609,6
EUR_NZD,648,4595,6
EUR_USD,486,4610,6
GBP_AUD,960,4613,6
GBP_CAD,700,4614,6
GBP_CHF,719,4613,6
GBP_JPY,757,4614,6
GBP_NZD,553,4612,6
GBP_USD,737,4614,6
NZD_CAD,614,4605,6
NZD_CHF,616,4605,6
NZD_JPY,1085,4609,6
NZD_USD,760,4604,6
USD_CAD,567,4603,6
USD_CHF,521,4610,6
USD_JPY,997,4613,6
AUD_CAD,602,4609,7
AUD_CHF,803,4609,7
AUD_JPY,736,4609,7
AUD_NZD,497,4609,7
AUD_USD,557,4609,7
CAD_CHF,480,4610,7
CAD_JPY,411,4610,7
CHF_JPY,348,4610,7
EUR_AUD,501,4610,7
EUR_CAD,508,4610,7
EUR_CHF,521,4610,7
EUR_GBP,483,4610,7
EUR_JPY,581,4610,7
EUR_NZD,306,4610,7
EUR_USD,583,4610,7
GBP_AUD,961,4610,7
GBP_CAD,599,4610,7
GBP_CHF,721,4610,7
GBP_JPY,546,4610,7
GBP_NZD,800,4610,7
GBP_USD,677,4610,7
NZD_CAD,372,4610,7
NZD_CHF,655,4610,7
NZD_JPY,491,4610,7
NZD_USD,654,4610,7
USD_CAD,663,4610,7
USD_CHF,732,4610,7
USD_JPY,401,4610,7
