trade_id,local_peaks_count,monotonicity_ratio_in_profit
0,9,0.5517241379310345
1,8,0.5333333333333333
10,2,0.35714285714285715
100,3,0.5
1000,0,
1001,19,0.5242718446601942
1002,15,0.5070422535211268
1003,19,0.5166666666666667
1004,21,0.5431034482758621
1005,23,0.550561797752809
1006,18,0.5304347826086957
1007,1,1.0
1008,0,
1009,14,0.47058823529411764
101,3,0.8333333333333334
1010,2,0.8
1011,2,0.6666666666666666
1012,0,
1013,5,0.5238095238095238
1014,1,0.5
1015,4,0.6875
1016,1,0.3333333333333333
1017,2,0.5
1018,4,0.5555555555555556
1019,7,0.43478260869565216
102,26,0.5299145299145299
1020,1,1.0
1021,0,
1022,5,0.3333333333333333
1023,34,0.5673076923076923
1024,9,0.48
1025,5,0.4883720930232558
1026,0,0.0
1027,6,0.6190476190476191
1028,0,
1029,0,
103,5,0.4642857142857143
1030,2,0.25
1031,5,0.5151515151515151
1032,21,0.5398230088495575
1033,3,0.47368421052631576
1034,0,
1035,1,0.3333333333333333
1036,3,0.6666666666666666
1037,2,0.5
1038,2,0.5
1039,4,0.5714285714285714
104,1,1.0
1040,15,0.5701754385964912
1041,2,1.0
1042,3,0.5
1043,3,0.5
1044,0,
1045,2,
1046,0,
1047,26,0.5555555555555556
1048,23,0.5701754385964912
1049,20,0.5833333333333334
105,1,
1050,28,0.5508474576271186
1051,22,0.525
1052,23,0.5294117647058824
1053,11,0.5166666666666667
1054,20,0.5398230088495575
1055,2,0.6666666666666666
1056,15,0.5416666666666666
1057,8,0.5757575757575758
1058,0,
1059,5,0.5862068965517241
106,0,
1060,21,0.5932203389830508
1061,5,0.5526315789473685
1062,2,0.6923076923076923
1063,0,0.0
1064,0,
1065,0,
1066,0,0.0
1067,35,0.525
1068,26,0.5416666666666666
1069,20,0.5210084033613446
107,0,
1070,34,0.55
1071,27,0.5603448275862069
1072,28,0.5299145299145299
1073,27,0.5042016806722689
1074,16,0.5079365079365079
1075,7,0.5263157894736842
1076,0,
1077,0,
1078,0,
1079,0,
108,0,
1080,0,0.5
1081,3,0.875
1082,2,0.46153846153846156
1083,12,0.6363636363636364
1084,12,0.5365853658536586
1085,2,1.0
1086,5,0.5087719298245614
1087,21,0.4594594594594595
1088,7,0.4772727272727273
1089,1,0.0
109,4,0.4827586206896552
1090,1,0.5
1091,3,0.4444444444444444
1092,8,0.5
1093,0,
1094,1,1.0
1095,0,
1096,0,
1097,0,1.0
1098,6,0.44329896907216493
1099,1,0.4
11,0,0.0
110,9,0.46938775510204084
1100,2,0.45161290322580644
1101,5,0.41025641025641024
1102,4,0.6428571428571429
1103,22,0.5
1104,4,0.5833333333333334
1105,0,
1106,0,
1107,2,0.46153846153846156
1108,0,0.2857142857142857
1109,18,0.5533980582524272
111,2,0.5
1110,24,0.5822784810126582
1111,11,0.5416666666666666
1112,15,0.5327102803738317
1113,3,0.5
1114,1,0.5
1115,3,0.5
1116,1,0.3333333333333333
1117,0,
1118,1,0.0
1119,20,0.6
112,9,0.5581395348837209
1120,1,0.0
1121,0,
