trade_id,race_condition,mae_mfe_ratio_winners
0,-24.0,
1,-24.0,
2,-14.0,
3,-236.0,0.19999944
4,86.0,
5,-238.0,0.15422891
6,-238.0,0.1534479
7,-238.0,0.012981533
8,-16.0,
9,-170.0,
10,-10.0,
11,46.0,
12,47.0,
13,34.0,
14,27.0,
15,129.0,
16,18.0,
17,-59.0,0.6765145
18,19.0,
19,-59.0,1.4263569
20,-216.0,0.088668235
21,-239.0,0.26976022
22,-239.0,0.06560642
23,-232.0,0.085879594
24,-221.0,0.2987631
25,-42.0,
26,-236.0,0.027842203
27,-3.0,
28,-155.0,
29,147.0,
30,22.0,
31,-53.0,
32,238.0,
33,36.0,
34,232.0,
35,19.0,
36,19.0,
37,-238.0,0.2026591
38,-80.0,
39,49.0,
40,-50.0,
41,-36.0,
42,-65.0,0.48728138
43,-51.0,
44,-52.0,
45,6.0,
46,8.0,
47,-51.0,
48,-33.0,
49,-21.0,
50,46.0,
51,-218.0,0.1613962
52,-51.0,
53,234.0,
54,-50.0,1.3022664
55,-3.0,
56,185.0,
57,-223.0,0.19437084
58,164.0,
59,-33.0,
60,18.0,
61,141.0,
62,63.0,
63,95.0,
64,23.0,
65,191.0,
66,-35.0,
67,-90.0,
68,-172.0,
69,-231.0,0.0795306
70,23.0,
71,-72.0,
72,-23.0,0.38628173
73,-239.0,0.1253688
74,-176.0,0.06489579
75,-54.0,
76,-41.0,
77,-220.0,0.17078094
78,-172.0,0.010031171
79,206.0,
80,71.0,
81,233.0,
82,-17.0,0.6317429
83,3.0,
84,237.0,
85,-75.0,
86,-221.0,0.102065966
87,-233.0,0.0067915856
88,-24.0,
89,-138.0,
90,-13.0,
91,39.0,
92,-8.0,
93,-208.0,0.13794312
94,10.0,
95,-239.0,0.0758981
96,-238.0,0.12759456
97,-227.0,0.14783238
98,-218.0,0.11064427
99,74.0,
100,48.0,
101,207.0,
102,-202.0,0.046027925
103,188.0,
104,79.0,
105,231.0,
106,73.0,
107,66.0,
108,239.0,
109,-31.0,
110,-102.0,0.3127665
111,227.0,
112,-43.0,0.5943234
113,193.0,
114,84.0,
115,226.0,
116,22.0,
117,170.0,
118,231.0,
119,227.0,
120,227.0,
121,-66.0,
122,67.0,
123,234.0,
124,-125.0,
125,236.0,
126,239.0,
127,-238.0,0.017273733
128,237.0,
129,80.0,
130,170.0,
131,-195.0,0.12150021
132,96.0,
133,30.0,
134,-212.0,0.10987604
135,-148.0,
136,-29.0,
137,234.0,
138,46.0,
139,-23.0,
140,230.0,
141,17.0,
142,58.0,
143,-68.0,
144,-238.0,0.05369817
145,232.0,
146,-66.0,
147,-20.0,
148,0.0,
149,106.0,
150,-93.0,
151,59.0,
152,58.0,
153,-41.0,
154,-26.0,
155,-91.0,0.37724057
156,-225.0,0.11867925
157,-93.0,0.45140374
158,-232.0,0.13099724
159,-86.0,0.4465467
160,-238.0,0.16233367
161,-11.0,
162,-240.0,0.011884068
163,-59.0,0.5846501
164,-236.0,0.07318957
165,51.0,
166,31.0,
167,225.0,
168,-81.0,0.41486704
169,-133.0,
170,-42.0,
171,-101.0,
172,-107.0,
173,-239.0,0.016223233
174,-38.0,
175,-228.0,0.044742003
176,232.0,1.2847793
177,128.0,
178,238.0,
179,236.0,
180,75.0,
181,222.0,
182,-86.0,
183,92.0,
184,78.0,
185,-238.0,0.05223891
186,213.0,
187,-229.0,0.09172595
188,-94.0,0.37332863
189,-239.0,0.005905917
190,225.0,
191,93.0,
192,82.0,
193,-227.0,0.28882796
194,-26.0,
195,-27.0,
196,124.0,
197,-31.0,
198,-16.0,
