trade_id,race_condition,mae_mfe_ratio_winners
AUD_USD_2010-02-18 20:00:00,-21.0,
EUR_GBP_2010-02-23 16:00:00,-231.0,0.026719578
CAD_JPY_2010-03-04 04:00:00,-239.0,0.0044323215
AUD_CAD_2010-03-11 20:00:00,161.0,
GBP_JPY_2010-03-19 04:00:00,34.0,
NZD_CHF_2010-03-19 04:00:00,19.0,
AUD_CHF_2010-03-31 08:00:00,16.0,
NZD_CAD_2010-04-13 12:00:00,13.0,
EUR_USD_2010-04-15 08:00:00,229.0,
AUD_NZD_2010-04-16 08:00:00,236.0,
AUD_NZD_2010-04-21 20:00:00,233.0,
EUR_JPY_2010-05-11 20:00:00,224.0,0.37918216
AUD_CHF_2010-05-17 00:00:00,237.0,
AUD_CHF_2010-05-17 08:00:00,239.0,
EUR_CAD_2010-05-24 08:00:00,155.0,1.1652174
AUD_CHF_2010-06-01 00:00:00,218.0,
AUD_NZD_2010-06-11 08:00:00,-33.0,2.0638976
NZD_JPY_2010-06-15 04:00:00,-58.0,-0.0
GBP_USD_2010-06-22 20:00:00,-237.0,0.0067665535
GBP_JPY_2010-07-12 04:00:00,-16.0,
EUR_JPY_2010-07-19 16:00:00,21.0,
NZD_CAD_2010-08-10 20:00:00,61.0,
USD_CAD_2010-08-16 04:00:00,13.0,
GBP_USD_2010-08-18 12:00:00,150.0,
NZD_CAD_2010-08-25 12:00:00,-229.0,0.2895323
CHF_JPY_2010-08-30 20:00:00,-231.0,0.22571221
NZD_CAD_2010-09-14 20:00:00,28.0,
CHF_JPY_2010-08-31 16:00:00,-235.0,0.2864459
EUR_AUD_2010-09-27 16:00:00,-157.0,0.31860465
EUR_JPY_2010-11-05 08:00:00,235.0,
CHF_JPY_2010-11-09 00:00:00,-236.0,0.028591353
AUD_CHF_2010-11-17 04:00:00,-42.0,0.10674846
GBP_CAD_2010-11-16 16:00:00,-18.0,0.30192962
USD_CAD_2010-11-19 04:00:00,-6.0,
CAD_CHF_2010-11-15 08:00:00,-120.0,0.25060433
USD_CAD_2010-12-22 08:00:00,233.0,
USD_JPY_2011-01-10 12:00:00,-32.0,0.3306011
AUD_CHF_2011-01-10 04:00:00,-30.0,0.9742547
CAD_JPY_2011-01-10 12:00:00,-62.0,0.012941177
USD_CAD_2011-02-11 12:00:00,239.0,
AUD_CAD_2011-02-21 12:00:00,140.0,
EUR_AUD_2011-02-24 12:00:00,24.0,
EUR_CAD_2011-02-25 08:00:00,33.0,
GBP_CAD_2011-04-29 20:00:00,13.0,
EUR_JPY_2011-05-02 12:00:00,236.0,
NZD_USD_2011-05-11 12:00:00,28.0,
AUD_CHF_2011-05-12 00:00:00,-33.0,
USD_CHF_2011-07-05 08:00:00,11.0,
CAD_CHF_2011-08-18 12:00:00,-205.0,
EUR_JPY_2011-08-29 08:00:00,228.0,
EUR_GBP_2011-09-23 08:00:00,140.0,
NZD_CHF_2011-11-01 08:00:00,16.0,
NZD_CAD_2011-10-31 16:00:00,227.0,
GBP_CAD_2011-11-08 16:00:00,210.0,
GBP_NZD_2011-12-16 00:00:00,222.0,
AUD_USD_2011-12-28 12:00:00,12.0,
USD_CHF_2011-12-26 08:00:00,-107.0,0.20481928
GBP_USD_2012-01-05 08:00:00,79.0,
AUD_JPY_2012-01-05 20:00:00,21.0,
AUD_JPY_2012-01-13 00:00:00,-227.0,0.16906947
EUR_USD_2012-01-25 08:00:00,-239.0,0.13561232
EUR_AUD_2012-02-13 16:00:00,22.0,0.3
GBP_CAD_2012-02-21 12:00:00,12.0,
NZD_JPY_2012-04-04 00:00:00,233.0,
CAD_CHF_2012-04-19 12:00:00,52.0,
EUR_GBP_2012-06-06 08:00:00,-23.0,0.63617885
EUR_CAD_2012-06-15 08:00:00,-32.0,
GBP_CAD_2012-06-19 08:00:00,180.0,0.7100213
AUD_CAD_2012-06-11 00:00:00,-218.0,0.111632265
GBP_CHF_2012-06-28 12:00:00,26.0,
NZD_JPY_2012-07-19 00:00:00,28.0,
USD_CAD_2012-07-25 16:00:00,236.0,
GBP_NZD_2012-07-25 12:00:00,140.0,
GBP_AUD_2012-08-21 04:00:00,-237.0,0.10207801
EUR_AUD_2012-08-21 00:00:00,-238.0,0.020833334
USD_JPY_2012-09-19 16:00:00,90.0,
AUD_JPY_2012-09-19 12:00:00,150.0,
EUR_USD_2012-10-19 08:00:00,182.0,
USD_CHF_2012-10-25 04:00:00,-132.0,0.1724138
AUD_CHF_2012-10-30 12:00:00,-195.0,0.29640153
CAD_CHF_2012-11-08 16:00:00,217.0,
EUR_CAD_2012-11-27 08:00:00,-35.0,0.11950336
CAD_CHF_2012-12-12 08:00:00,134.0,
AUD_USD_2013-01-03 20:00:00,15.0,
EUR_NZD_2013-01-16 12:00:00,-122.0,0.68080354
EUR_JPY_2013-03-13 08:00:00,-4.0,
GBP_CHF_2013-03-15 16:00:00,-134.0,0.027855152
GBP_CAD_2013-03-25 08:00:00,48.0,
GBP_USD_2013-03-26 08:00:00,-5.0,
GBP_CAD_2013-04-02 08:00:00,18.0,
NZD_CAD_2013-04-19 12:00:00,-28.0,0.53313255
NZD_USD_2013-04-26 16:00:00,-39.0,0.40749416
AUD_JPY_2013-05-07 04:00:00,-32.0,
NZD_CHF_2013-05-07 04:00:00,236.0,
NZD_JPY_2013-05-13 08:00:00,219.0,
NZD_JPY_2013-05-14 08:00:00,225.0,
USD_CAD_2013-05-16 12:00:00,-237.0,0.07259647
AUD_NZD_2013-06-05 00:00:00,228.0,
USD_CAD_2013-06-04 20:00:00,65.0,
CHF_JPY_2013-06-24 12:00:00,-207.0,
AUD_NZD_2013-06-26 12:00:00,227.0,0.08945687
GBP_AUD_2013-07-16 04:00:00,-215.0,
NZD_CHF_2013-07-18 00:00:00,-55.0,0.06933116
GBP_USD_2013-07-24 16:00:00,-24.0,
EUR_USD_2013-07-19 08:00:00,-235.0,0.010590015
EUR_AUD_2013-07-29 12:00:00,-184.0,0.005904455
EUR_JPY_2013-08-05 04:00:00,76.0,
USD_JPY_2013-09-24 08:00:00,172.0,1.582822
EUR_JPY_2013-10-01 04:00:00,69.0,
GBP_AUD_2013-10-02 16:00:00,208.0,
CHF_JPY_2013-10-15 08:00:00,-91.0,
USD_CAD_2013-10-11 16:00:00,33.0,
GBP_NZD_2013-11-13 00:00:00,-232.0,0.41435644
AUD_JPY_2013-12-11 08:00:00,75.0,
NZD_USD_2013-12-11 08:00:00,-26.0,
GBP_CHF_2013-12-30 08:00:00,-233.0,
EUR_CHF_2013-12-31 16:00:00,-97.0,-0.0
AUD_CHF_2014-01-09 04:00:00,-18.0,0.23233144
USD_CHF_2014-02-04 04:00:00,212.0,0.86159843
GBP_CAD_2014-02-18 16:00:00,-235.0,0.23049188
GBP_NZD_2014-02-24 04:00:00,222.0,
USD_CAD_2014-02-24 16:00:00,-35.0,
EUR_JPY_2014-02-21 08:00:00,31.0,
GBP_CAD_2014-03-24 12:00:00,226.0,
AUD_NZD_2014-03-27 04:00:00,-218.0,
CAD_CHF_2014-03-31 16:00:00,-229.0,0.14119804
AUD_USD_2014-06-02 00:00:00,-220.0,
GBP_AUD_2014-06-18 20:00:00,-228.0,
CHF_JPY_2014-06-23 00:00:00,13.0,2.4833333
EUR_JPY_2014-07-04 04:00:00,230.0,
GBP_CAD_2014-07-29 12:00:00,-65.0,0.053254437
AUD_JPY_2014-07-25 16:00:00,-28.0,0.7758985
USD_CAD_2014-09-10 16:00:00,-36.0,0.11081263
EUR_USD_2014-10-17 12:00:00,222.0,
GBP_AUD_2014-10-21 12:00:00,22.0,0.99593496
EUR_NZD_2014-10-27 16:00:00,-9.0,
AUD_CHF_2014-11-11 04:00:00,-33.0,0.10737034
NZD_USD_2014-11-18 20:00:00,238.0,
CAD_CHF_2014-11-25 20:00:00,28.0,
NZD_CAD_2014-12-02 08:00:00,31.0,
NZD_CHF_2014-12-12 12:00:00,7.0,
EUR_NZD_2014-12-17 16:00:00,236.0,
CAD_JPY_2014-12-26 20:00:00,232.0,
CAD_CHF_2014-12-29 12:00:00,-64.0,0.029035013
NZD_JPY_2015-01-12 04:00:00,238.0,
EUR_JPY_2015-02-23 08:00:00,221.0,
AUD_JPY_2015-02-27 12:00:00,-25.0,
USD_CAD_2015-03-20 00:00:00,237.0,
AUD_USD_2015-03-26 00:00:00,128.0,
AUD_USD_2015-03-26 16:00:00,128.0,
CHF_JPY_2015-03-26 04:00:00,-34.0,0.68532526
CAD_CHF_2015-04-13 16:00:00,-74.0,0.12133891
AUD_USD_2015-04-20 16:00:00,-157.0,
USD_JPY_2015-05-06 12:00:00,-23.0,
EUR_AUD_2015-05-05 04:00:00,-32.0,0.26552382
CAD_JPY_2015-05-22 08:00:00,-138.0,0.44963145
USD_CHF_2015-05-28 16:00:00,188.0,
EUR_GBP_2015-06-05 12:00:00,-22.0,0.15557638
EUR_CHF_2015-06-05 16:00:00,-73.0,
EUR_JPY_2015-06-30 00:00:00,164.0,
USD_CHF_2015-07-03 20:00:00,-18.0,0.2735849
EUR_CHF_2015-07-13 16:00:00,-193.0,
AUD_USD_2015-08-18 12:00:00,220.0,
AUD_CAD_2015-08-18 12:00:00,-16.0,
EUR_AUD_2015-08-14 08:00:00,-217.0,0.05833942
EUR_JPY_2015-08-25 12:00:00,235.0,
NZD_CAD_2015-08-25 20:00:00,191.0,
EUR_JPY_2015-09-15 04:00:00,-16.0,0.44365782
NZD_JPY_2015-09-21 00:00:00,51.0,
GBP_CHF_2015-09-21 08:00:00,151.0,
CHF_JPY_2015-10-13 00:00:00,-42.0,
EUR_JPY_2015-10-22 04:00:00,239.0,
AUD_JPY_2015-11-13 20:00:00,-138.0,0.108805664
EUR_CHF_2015-11-20 20:00:00,-25.0,
CAD_JPY_2015-11-27 04:00:00,-19.0,
NZD_CHF_2015-12-23 20:00:00,-36.0,0.112974405
USD_CHF_2016-01-07 04:00:00,22.0,
GBP_USD_2016-02-05 12:00:00,235.0,
GBP_USD_2016-02-12 12:00:00,229.0,
GBP_NZD_2016-03-15 08:00:00,232.0,
GBP_USD_2016-04-13 08:00:00,17.0,
NZD_CAD_2016-05-06 04:00:00,55.0,
NZD_CAD_2016-05-06 20:00:00,56.0,
CAD_CHF_2016-05-18 20:00:00,12.0,
