percentile,fwd_mfe_h240_R,final_r
1,0.02022476475685835,-2.994207978248596
5,0.12116124667227268,-1.6556320786476135
10,0.21924950182437897,-1.4168171882629395
20,0.5152950286865234,-1.2192291021347046
30,1.033572494983673,-1.1150600910186768
40,1.6899850368499756,-1.0333431959152222
50,2.4620124101638794,-0.9742087721824646
60,3.191270112991333,-0.902373731136322
70,4.214410066604614,-0.8392456769943237
80,5.2634501457214355,-0.7403944730758667
90,6.946875095367432,-0.5633673667907715
95,8.313087463378906,-0.4120171442627907
99,11.631439924240118,0.13847489878535305
