trade_id,pair,monotonicity_ratio_in_profit,local_peaks_count,pullback_magnitude_median,time_to_peak_mfe_relative
0,CHF_JPY,0.53571427,9,0.0,0.34285715
1,EUR_JPY,0.55172414,8,0.0,0.4516129
2,AUD_NZD,0.45454547,5,0.0,0.36363637
3,EUR_USD,0.52287585,17,0.07848573,0.9702381
4,EUR_CHF,0.5686275,6,0.0,0.12941177
5,GBP_CHF,0.560241,4,0.0,0.14285715
6,GBP_JPY,0.55421686,14,0.0,0.92261904
7,GBP_USD,0.5654762,17,0.0,0.9880952
8,USD_JPY,0.42857143,2,0.17826423,0.15789473
9,EUR_GBP,0.46031746,7,0.0,0.57738096
10,AUD_CHF,0.3846154,2,0.3174373,0.33333334
11,AUD_NZD,0.0,0,0.0,0.0
12,AUD_USD,0.0,0,0.0,0.0
13,AUD_JPY,0.0,0,0.0,0.0
14,CAD_JPY,0.5,1,0.0,0.75
15,NZD_USD,0.0,0,0.0,0.0
16,AUD_JPY,0.0,0,0.0,0.0
17,AUD_USD,0.5121951,6,0.65676916,0.42201835
18,NZD_JPY,0.0,0,0.0,0.0
19,AUD_CHF,0.4915254,3,0.2620495,0.074074075
20,AUD_JPY,0.5272727,18,0.0,0.76785713
21,CAD_CHF,0.47972974,13,0.022131681,0.7202381
22,CAD_JPY,0.52380955,43,0.0,0.8035714
23,EUR_JPY,0.5329341,26,0.0,0.75595236
24,NZD_JPY,0.49673203,18,0.0,0.77380955
25,NZD_USD,0.53846157,4,0.8889143,0.41666666
26,CHF_JPY,0.5329341,23,0.0,0.73214287
27,AUD_CAD,0.6111111,6,0.13766062,0.8695652
28,GBP_NZD,0.5068493,12,0.0,0.375
29,NZD_CHF,0.0,1,0.0,0.25
30,AUD_NZD,0.0,0,0.0,0.0
31,EUR_CHF,0.52,6,0.18537176,0.63013697
32,NZD_CAD,0.0,0,0.0,0.0
33,NZD_USD,0.33333334,0,0.0,0.0
34,GBP_CAD,1.0,2,0.18312536,0.625
35,GBP_CAD,0.0,0,0.0,0.0
36,EUR_USD,0.0,1,0.0,0.75
37,GBP_USD,0.52469134,21,0.0,0.30952382
38,EUR_USD,0.5319149,18,0.0,0.21582733
39,GBP_CHF,0.5555556,3,0.17811231,0.9230769
40,GBP_JPY,0.5507246,8,0.0,0.19130434
41,AUD_CHF,0.4074074,3,0.0,0.057471264
42,GBP_CHF,0.45833334,16,0.0,0.65254235
43,NZD_CHF,0.54,17,0.020414352,0.64285713
44,CAD_CHF,0.537037,11,0.0,0.5645161
45,NZD_JPY,1.0,1,0.0,0.5
46,NZD_USD,1.0,0,0.0,0.0
47,NZD_USD,0.53846157,9,0.0,0.6909091
48,NZD_CAD,0.54347825,9,0.0,0.64
49,NZD_JPY,0.45,7,0.0,0.42857143
50,EUR_GBP,0.0,0,0.0,0.0
