percentile,fwd_mfe_h240_R,final_r
1,1.3260095357894897,-0.11747000038623809
5,2.1221091508865357,0.12423373833298684
10,2.599071216583252,0.2503787577152253
20,3.2973514080047606,0.932086730003357
30,4.119478988647461,1.4096647024154663
40,4.55812931060791,1.8006726264953614
50,5.384547233581543,2.1933577060699463
60,5.9773962020874025,2.4329561233520507
70,6.641809272766112,2.9077684402465818
80,7.903977108001709,3.473307704925537
90,10.409586715698241,4.313887691497802
95,13.766938114166255,5.454100322723385
99,16.59413562774658,8.545067377090463
