dataset,K,target_id,target_kind,archetype_ids_in_target,exit_family_tag,target_size,n_total,auc_mean,auc_std,auc_fold_1,auc_fold_2,auc_fold_3,auc_fold_4,auc_fold_5,auc_logistic_baseline,lift_vs_logistic
arc2,3,arch_0,archetype,0,mixed,772,3993,0.5081502260295251,0.023765073839888427,0.5122420215443471,0.5310358645562012,0.49936886395511926,0.4671089779785432,0.5309954021134144,0.5113764942001815,-0.00322626817065641
arc2,4,arch_2,archetype,2,mixed,765,3993,0.49109027049352233,0.016131111690295484,0.5210748902244076,0.4779032355976447,0.489801493352759,0.4906216750265998,0.4760500582662006,0.502193764410669,-0.011103493917146656
arc2,5,arch_1,archetype,1,mixed,621,3993,0.5020671672534025,0.012130298818021322,0.5087933094384707,0.5117562724014336,0.47867062314540054,0.5090815545132574,0.5020340767684502,0.4988691525832331,0.0031980146701693912
arc2,6,arch_2,archetype,2,mixed,604,3993,0.4951415480515694,0.024283022670748847,0.4953801896682025,0.4636022331114849,0.5144445257075989,0.4736725663716814,0.5286082253988793,0.4928734763353592,0.002268071716210185
arc2,7,arch_2,archetype,2,mixed,585,3993,0.49199834213334287,0.030916833140848306,0.43077173722335016,0.508935508935509,0.5067924906634584,0.5000439273567028,0.513448046487694,0.5043230702318382,-0.01232472809849533
kh24,3,arch_1,archetype,1,stepwise_lock,270,540,0.5333333333333333,0.06095669124604428,0.5538408779149521,0.6097393689986282,0.4650205761316873,0.5792181069958848,0.4588477366255144,0.562482853223594,-0.02914951989026071
kh24,4,arch_1,archetype,1,untradeable,215,540,0.5101967799642219,0.027478943022111024,0.5595706618962433,0.4926654740608229,0.49445438282647586,0.5202146690518783,0.4840787119856887,0.5690161001788908,-0.05881932021466896
kh24,4,arch_3,archetype,3,stepwise_lock,70,540,0.5506079027355623,0.057957556478294175,0.479483282674772,0.5516717325227963,0.5653495440729482,0.5075987841945289,0.6489361702127661,0.5693009118541034,-0.018693009118541104
kh24,5,arch_3,archetype,3,stepwise_lock,66,540,0.5015319395050638,0.060983685908774024,0.49797570850202433,0.4777327935222672,0.4736842105263158,0.4404858299595142,0.6177811550151976,0.5638177276251184,-0.062285788120054586
kh24,5,arch_4,archetype,4,mixed,147,540,0.4753789074304134,0.05359789853666021,0.4866870362287211,0.5482322130074203,0.45351374945438677,0.5012820512820513,0.38717948717948714,0.5355676056810933,-0.060188698250679906
kh24,6,arch_2,archetype,2,stepwise_lock,65,540,0.531497975708502,0.05372663366136275,0.6089068825910932,0.5246963562753036,0.4720647773279352,0.47692307692307695,0.5748987854251013,0.571336032388664,-0.03983805668016205
kh24,6,arch_4,archetype,4,stepwise_lock,133,540,0.44335841759810446,0.06809332262469538,0.40947467166979357,0.5018761726078799,0.35482395976223136,0.4092363968907179,0.5413808870598994,0.5556327214111014,-0.11227430381299697
kh24,7,arch_1,archetype,1,stepwise_lock,131,540,0.459160989678906,0.03106054898159541,0.48592870544090055,0.41979362101313317,0.4432457786116323,0.5042213883677299,0.44261545496113397,0.5382015594451607,-0.07904056976625468
kh24,7,arch_3,archetype,3,mixed,59,540,0.5682387665312922,0.0503417209494718,0.6241799437675726,0.6206597222222222,0.5017361111111112,0.5746527777777778,0.5199652777777778,0.5505209960429033,0.017717770488388962
kh24,6,group_stepwise_lock,group,"2,4",stepwise_lock,198,540,0.47891195051041596,0.03435298715614273,0.43626904496469715,0.536231884057971,0.4955882352941176,0.45955882352941174,0.46691176470588236,0.5394729435809998,-0.06056099307058388
