dataset,K,target_id,target_kind,archetype_ids_in_target,exit_family_tag,auc_rf_basic_only,target_size_at_t1,n_excluded_at_t1,auc_rf_mean_at_t1,auc_rf_std_at_t1,lift_vs_entry_only_at_t1,target_size_at_t3,n_excluded_at_t3,auc_rf_mean_at_t3,auc_rf_std_at_t3,lift_vs_entry_only_at_t3,target_size_at_t5,n_excluded_at_t5,auc_rf_mean_at_t5,auc_rf_std_at_t5,lift_vs_entry_only_at_t5,target_size_at_t10,n_excluded_at_t10,auc_rf_mean_at_t10,auc_rf_std_at_t10,lift_vs_entry_only_at_t10
arc2,3,arch_0,archetype,0,mixed,0.5081502260295251,772,112,0.6196009441980679,0.01432911133991132,0.1114507181685428,772,454,0.6365842673879698,0.013938149708731208,0.12843404135844472,772,741,0.6516394414638432,0.01885279992516463,0.14348921543431814,772,1202,0.6718242428181023,0.017611916907432405,0.16367401678857718
arc2,4,arch_2,archetype,2,mixed,0.49109027049352233,765,112,0.6107603153621,0.010239945780295506,0.11967004486857763,765,454,0.6335197928869621,0.017655605981640555,0.1424295223934398,765,741,0.6481267054778999,0.01736220395325964,0.15703643498437753,765,1202,0.6689171346131755,0.03054542629145766,0.17782686411965315
arc2,5,arch_1,archetype,1,mixed,0.5020671672534025,621,112,0.6063491193350485,0.019637586680965775,0.10428195208164603,621,454,0.6274377633251448,0.013546546431540322,0.12537059607174228,621,741,0.6470614007579428,0.01835056097003508,0.14499423350454033,621,1202,0.6733022744165303,0.019447888105981328,0.17123510716312784
arc2,6,arch_2,archetype,2,mixed,0.4951415480515694,604,112,0.6084670740298501,0.009174053307155355,0.11332552597828072,604,454,0.6273770537964436,0.014743839708320407,0.1322355057448742,604,741,0.6321923269241521,0.024561109914927673,0.13705077887258266,604,1202,0.6652651493202872,0.025241960743869876,0.17012360126871784
arc2,7,arch_2,archetype,2,mixed,0.49199834213334287,585,112,0.6120496745989918,0.017200066385407414,0.12005133246564897,585,454,0.6268684573494003,0.01765403949645231,0.13487011521605746,585,741,0.6349081856175476,0.021518781607024525,0.1429098434842047,585,1202,0.6685196541908457,0.01516291133387699,0.17652131205750282
kh24,3,arch_1,archetype,1,stepwise_lock,0.5333333333333333,270,0,0.7237311385459535,0.04885674784340459,0.19039780521262017,237,85,0.8200004123371268,0.04866949518367705,0.2866670790037935,219,177,0.840056134723336,0.04919119423446822,0.30672280139000263,188,278,0.8298779042200095,0.06027116278444495,0.2965445708866762
kh24,4,arch_1,archetype,1,untradeable,0.5101967799642219,215,0,0.6838640429338103,0.025658315370035028,0.17366726296958845,182,85,0.7443234143234143,0.031298484648076844,0.23412663435919245,162,177,0.744349593495935,0.026167821925229727,0.23415281353171313,127,278,0.6175934065934066,0.03417954115683215,0.1073966266291847
kh24,4,arch_3,archetype,3,stepwise_lock,0.5506079027355623,70,0,0.5761398176291793,0.028784852494221153,0.025531914893617058,70,85,0.6376623376623376,0.09933951873402469,0.08705443492677534,70,177,0.6533940051765884,0.060094179149374885,0.10278610244102615,70,278,0.7036538461538461,0.060271093883216366,0.15304594341828381
kh24,5,arch_3,archetype,3,stepwise_lock,0.5015319395050638,66,0,0.5199312110062391,0.06544390369741966,0.018399271501175263,66,85,0.5838597300135762,0.09263259707790024,0.08232779050851236,66,177,0.6583882783882784,0.07831159174357148,0.1568563388832146,66,278,0.6572266148485661,0.0722974090312113,0.15569467534350234
kh24,5,arch_4,archetype,4,mixed,0.4753789074304134,147,0,0.6032392080493347,0.06042710128983904,0.12786030061892134,120,85,0.675,0.04387322113977811,0.19962109256958666,103,177,0.6625459603289793,0.06672971031861509,0.1871670528985659,87,278,0.6547567175018155,0.05613617638023234,0.17937781007140213
kh24,6,arch_2,archetype,2,stepwise_lock,0.531497975708502,65,0,0.5752226720647774,0.08006553725252874,0.043724696356275405,65,85,0.6252465483234714,0.08050140672701407,0.09374857261496938,65,177,0.6636679704476315,0.0472933593353095,0.1321699947391295,65,278,0.6732457786116324,0.057536470991830235,0.14174780290313038
kh24,6,arch_4,archetype,4,stepwise_lock,0.44335841759810446,133,0,0.6072364758152172,0.02629920796979864,0.16387805821711277,116,85,0.701155348576809,0.05206822476854733,0.2577969309787045,104,177,0.6570879120879121,0.06010149653557932,0.2137294944898076,91,278,0.6293701847210619,0.08100689317656981,0.18601176712295742
kh24,7,arch_1,archetype,1,stepwise_lock,0.459160989678906,131,0,0.603876050789631,0.05338385361574712,0.14471506111072502,114,85,0.7097341703479811,0.02505448581677724,0.25057318066907514,102,177,0.6856344598797429,0.03523703404201517,0.2264734702008369,90,278,0.6792680776014111,0.04977671309155047,0.22010708792250505
kh24,7,arch_3,archetype,3,mixed,0.5682387665312922,59,0,0.5682202176403208,0.08648281395599836,-1.8548890971414878e-05,59,85,0.6238770617568086,0.07880407506357864,0.05563829522551633,59,177,0.6535767511177347,0.05484454081926185,0.08533798458644248,59,278,0.6814160771477844,0.057899998682130145,0.11317731061649217
kh24,6,group_stepwise_lock,group,"2,4",stepwise_lock,0.47891195051041596,198,0,0.6432502404529259,0.02581579230916938,0.16433828994250993,181,85,0.7309045409045409,0.04289054141195521,0.25199259039412497,169,177,0.736902966314731,0.05340341658739593,0.257991015804315,156,278,0.8034437555782226,0.06946203946564672,0.3245318050678066
