trade_id,pair,entry_date,body_to_range_ratio,upper_wick_ratio,lower_wick_ratio,range_to_atr_14,ret_5bar_atr,ret_20bar_atr,pos_in_20bar_range,rsi_14,atr_at_signal_1h,atr_baseline_1h_200,signal_bar_open,signal_bar_high,signal_bar_close,signal_bar_low,day_of_week,concurrent_signals_within_3h,vol_realized_1h_24h_decile,concurrent_signals_same_bar,vol_realized_1h_24h,atr_ratio_to_baseline,signal_bar_volume,trade_overlap_at_execution_time,cum_logret_1h_72,hour_utc,hour_in_d1_bar,bars_to_next_d1_close,currency_basket_3h_USD,cum_logret_1h_24,cum_logret_1h_3,currency_basket_3h_EUR,cum_logret_1h_168,cum_logret_1h_6,currency_basket_3h_GBP,dist_close_to_high30_atr,hour_in_4h_bar,bars_to_next_4h_close,signal_bar_abs_log_return,currency_basket_3h_JPY
0,CHF_JPY,2020-10-01 00:00:00,0.1383647798742436,0.257861635220096,0.6037735849056604,0.8532077691247626,-0.1502504247515559,-2.162532899102335,0.2029197080291902,46.80871676791863,0.1863555464,0.1517694212,114.522,114.563,114.5,114.404,3,2,8,2,0.001255394682,1.227885992,541,0,0.007584861452,0,0,23,0.0004626162548,-0.003444565576,-2.620053013e-05,-0.0001428016084,0.0005504851836,-0.0002445115893,-0.00122392755,-2.929883283,0,3,0.0002096289575,-0.0002753894633
26,CHF_JPY,2020-10-02 20:00:00,0.4140624999999783,0.2187500000000451,0.3671874999999766,0.7383048131454317,1.3612494992369129,-2.4340986808388263,0.467836257309946,45.81283178626286,0.1733701281,0.1521004813,114.494,114.522,114.441,114.394,4,20,3,8,0.0007479326199,1.139839445,2285,14,-0.003618027808,20,20,3,-0.0004623221836,-0.00333951264,-0.0001572739191,-0.0004350895124,0.002220882445,0.002064327247,-0.0007165549159,-4.066444478,0,3,0.0004804815391,-0.000297204495
95,CHF_JPY,2020-11-04 03:00:00,0.2722222222222198,0.5499999999999823,0.1777777777777979,1.6056567449975907,-0.7849877419988319,1.476312173872801,0.4901287553648084,50.21690774676622,0.2242073227,0.1324768414,114.474,114.672,114.376,114.312,2,5,7,3,0.001117514116,1.692426542,6245,8,0.002238800379,3,3,20,-0.002949624482,0.004131694705,-0.00354341044,0.001204139709,-0.01085158716,-0.001537601645,0.0008469445351,-2.649333629,3,0,0.0008651918163,-0.002585571485
111,CHF_JPY,2020-11-12 14:00:00,0.7788461538460678,0.0528846153846597,0.1682692307692724,1.3020003972149097,1.2394042242718568,0.3380193338923246,0.485179407176294,50.33625210538641,0.1597541755,0.1739580775,115.175,115.186,115.013,114.978,3,5,6,2,0.000939973692,0.918348707,2402,3,-0.003873538728,14,14,9,-0.001935392149,0.002912855569,-0.001624582809,-0.000877213225,0.005799288297,0.001723028082,0.0015258213,-2.065673708,2,1,0.001407545369,-0.002529745765
127,CHF_JPY,2020-11-24 12:00:00,0.443089430894296,0.1544715447154368,0.4024390243902671,1.8127935190618008,-1.4738158691558811,0.0515835554204956,0.3421926910299032,43.16178934794365,0.1357021621,0.1227513089,114.372,114.41,114.263,114.164,1,1,3,1,0.0007520564122,1.105504808,3305,1,0.004267126432,12,12,11,0.00185594307,0.003529812153,-0.002648267283,-0.001279933595,-0.004840850451,-0.001748817808,0.0002112486464,-2.918155421,0,3,0.0009534848843,-0.0001248180776
201,CHF_JPY,2021-01-20 05:00:00,0.4285714285714285,0.3571428571428571,0.2142857142857142,0.3926649403219478,-0.1121899829491279,0.8320757068726546,0.2107526881720392,52.99547245602358,0.106961421,0.12088962,116.886,116.919,116.904,116.877,2,7,2,3,0.0006586787004,0.8847858156,1568,5,0.0004535360917,5,5,18,0.000775553148,0.0005562520735,-0.0001710659121,0.0005809596602,-0.002785160153,-0.0001026430589,-2.460736863e-05,-3.431143646,1,2,0.0001539843452,-0.000339399364
205,CHF_JPY,2021-01-20 12:00:00,0.4705882352941852,0.0367647058823206,0.4926470588234941,1.174267396080321,-0.9756780570373526,-3.177429424688108,0.1311154598825707,40.494643342822606,0.1158168918,0.1183396306,116.792,116.797,116.728,116.661,2,16,1,5,0.0005257863323,0.9786822147,2539,5,-0.0001797891335,12,12,11,-0.0006582762322,-0.002727604778,-0.001053176967,0.002590829538,-0.001916086297,-0.000967594234,-0.003544627397,-4.688435267,0,3,0.0005566951296,-5.417584518e-05
219,CHF_JPY,2021-01-26 00:00:00,0.6058091286307096,0.0041493775933808,0.3900414937759096,2.1698940463308327,-0.1890779044520716,-3.088272439383752,0.3809523809523756,39.80570981803549,0.1110653308,0.1151948517,116.701,116.848,116.847,116.607,1,14,0,5,0.0005156852212,0.9641518621,2188,8,0.00395421862,0,0,23,0.0007587396031,-0.00342689979,8.558566274e-05,0.0004991758417,-7.704193225e-05,-0.0001797060527,8.08527525e-06,-3.835580347,0,3,0.0002738999084,0.0003169904638
237,CHF_JPY,2021-02-09 00:00:00,0.0358974358974628,0.0717948717948527,0.8923076923076845,1.7789388698763666,0.0821048709173767,-0.967012924138036,0.3758099352051721,46.46984432233014,0.1096159083,0.1136804437,117.06,117.074,117.053,116.879,1,2,3,1,0.0007049920368,0.9642459578,3948,3,0.001984161573,0,0,23,-0.0001407047867,-0.001434352994,0.0001110669692,0.0004611141863,-0.002304207476,7.689120326e-05,0.0004711450285,-2.636478632,0,3,9.397894024e-05,-0.0002126452724
253,CHF_JPY,2021-02-26 04:00:00,0.5109170305677068,0.0742358078602443,0.4148471615720489,1.052276723221288,-1.1120129564172805,1.052276723221288,0.3727810650887552,48.08034233385115,0.2176233637,0.1325132329,117.241,117.258,117.124,117.029,4,1,8,1,0.001374329088,1.642276466,3749,0,-0.0001620545104,4,4,19,0.001358588042,0.002553690786,-0.001902154784,-8.977248067e-06,-0.01259573519,-0.002064054637,0.0007926056195,-2.435400276,0,3,0.0009472647374,-0.003238066564
258,CHF_JPY,2021-03-01 15:00:00,0.5892857142857143,0.3809523809524091,0.0297619047618765,0.8658787016917211,-2.705870942786555,-2.896570418754326,0.0062344139650816,33.414951532385786,0.1940225573,0.1434579624,116.744,116.808,116.645,116.64,0,3,8,1,0.00122515028,1.352469769,3280,2,0.0009598327886,15,15,8,0.0007840527772,-0.004239648716,-0.002243612642,-4.853399406e-05,-0.009751600951,-0.004490737397,0.002217219708,-5.875605475,3,0,0.0008398032955,0.0002369740868
268,CHF_JPY,2021-03-05 17:00:00,0.8952879581151683,0.0340314136125786,0.070680628272253,1.8261129660238336,-3.0307738755473714,0.5449656495463931,0.2195652173913019,42.158622575073096,0.2091874967,0.1569204224,116.568,116.581,116.226,116.199,4,2,5,1,0.0008694666183,1.333080128,7226,4,0.0003861186119,17,17,6,-0.00114216079,0.002748977308,-0.004994989659,0.001605754908,-0.001183168285,-0.005440065586,-0.0002798080012,-3.432327512,1,2,0.002929643451,-0.001196544595
